dataInicio,dataFim,entidade,info
09/02/2018,09/02/2018,vestibular unicamp,"Matrícula, não presencial, dos convocados em 1ª chamada do Vestibular Unicamp 2018, das 8h00 às 18h00, na página eletrônica da Comvest."
10/02/2018,14/02/2018,b'Feriado/Expediente Suspenso',b'N\xc3\xa3o haver\xc3\xa1 atividades.'
10/02/2018,14/02/2018,feriado/expediente suspenso,Não haverá atividades.
15/02/2018,15/02/2018,b'Vestibular Unicamp',"b'Divulga\xc3\xa7\xc3\xa3o da lista de convocados em 2\xc2\xaa chamada para matr\xc3\xadcula presencial do Vestibular Unicamp 2018, \xc3\xa0s 15 horas.'"
15/02/2018,15/02/2018,vestibular unicamp,"Divulgação da lista de convocados em 2ª chamada para matrícula presencial do Vestibular Unicamp 2018, às 15 horas."
16/02/2018,16/02/2018,b'Cat\xc3\xa1logo dos Cursos de Gradua\xc3\xa7\xc3\xa3o',b'\xc3\x9altimo dia para as Coordenadorias de Cursos encaminharem \xc3\xa0 DAC propostas de cria\xc3\xa7\xc3\xa3o/exclus\xc3\xa3o de habilita\xc3\xa7\xc3\xa3o/\xc3\xaanfase em cursos j\xc3\xa1 existentes.'
16/02/2018,16/02/2018,catalogo dos cursos de graduacao,Último dia para as Coordenadorias de Cursos encaminharem à DAC propostas de criação/exclusão de habilitação/ênfase em cursos já existentes.
17/02/2018,17/02/2018,b'F\xc3\xa9rias de Ver\xc3\xa3o',b'T\xc3\xa9rmino das aulas do per\xc3\xadodo de F\xc3\xa9rias de Ver\xc3\xa3o - 2018.'
17/02/2018,17/02/2018,ferias de verao,Término das aulas do período de Férias de Verão - 2018.
19/02/2018,19/02/2018,b'Vestibular Unicamp',"b'Matr\xc3\xadcula presencial dos convocados em 2\xc2\xaa chamada do Vestibular Unicamp 2018, das 9h00 \xc3\xa0s 12h00, nas unidades de ensino.'"
19/02/2018,19/02/2018,vestibular unicamp,"Matrícula presencial dos convocados em 2ª chamada do Vestibular Unicamp 2018, das 9h00 às 12h00, nas unidades de ensino."
19/02/2018,19/02/2018,Vestibular Unicamp,"Solicitação de Aproveitamento de Estudos para o 1º Período letivo de 2018 - ingressantes da 2ª chamada do Vestibular Unicamp 2018, na DAC."
19/02/2018,19/02/2018,Vestibular Unicamp,Divulgação da lista de convocados em 3ª chamada para matrícula presencial e lista de candidatos remanejados do Vestibular Unicamp 2018.
19/02/2018,20/02/2018,b'F\xc3\xa9rias de Ver\xc3\xa3o',b'Exames finais do per\xc3\xadodo de F\xc3\xa9rias de Ver\xc3\xa3o - 2018.'
19/02/2018,20/02/2018,ferias de verao,Exames finais do período de Férias de Verão - 2018.
21/02/2018,21/02/2018,b'Vestibular Unicamp',"b'Matr\xc3\xadcula presencial dos convocados em 3\xc2\xaa chamada do Vestibular Unicamp 2018, das 9h00 \xc3\xa0s 12h00, nas unidades de ensino.'"
21/02/2018,21/02/2018,vestibular unicamp,"Matrícula presencial dos convocados em 3ª chamada do Vestibular Unicamp 2018, das 9h00 às 12h00, nas unidades de ensino."
21/02/2018,21/02/2018,Vestibular Unicamp,"Solicitação de Aproveitamento de Estudos para o 1º Período letivo de 2018 - ingressantes da 3ª chamada do Vestibular Unicamp 2018, na DAC."
21/02/2018,21/02/2018,Férias de Verão,"Último dia para entrada de médias e frequências do período de Férias de Verão - 2018, na WEB."
21/02/2018,22/02/2018,b'Processo Seletivo Aberto',"b'Matr\xc3\xadcula em disciplinas dos candidatos aprovados no Processo Seletivo Aberto para preenchimento de vagas remanescentes, na DAC.'"
21/02/2018,22/02/2018,processo seletivo aberto,"Matrícula em disciplinas dos candidatos aprovados no Processo Seletivo Aberto para preenchimento de vagas remanescentes, na DAC."
25/02/2018,27/02/2018,b'Altera\xc3\xa7\xc3\xa3o de Matr\xc3\xadcula',"b'Altera\xc3\xa7\xc3\xa3o de Matr\xc3\xadcula em disciplinas do 1\xc2\xba per\xc3\xadodo letivo de 2018, na WEB.'"
25/02/2018,27/02/2018,alteracao de matricula,"Alteração de Matrícula em disciplinas do 1º período letivo de 2018, na WEB."
26/02/2018,26/02/2018,b'Per\xc3\xadodo Letivo',b'In\xc3\xadcio das aulas do 1\xc2\xba per\xc3\xadodo letivo de 2018 e Turmas Especiais I e II.'
26/02/2018,26/02/2018,periodo letivo,Início das aulas do 1º período letivo de 2018 e Turmas Especiais I e II.
26/02/2018,26/02/2018,Vestibular Unicamp,"Confirmação de Matrícula para todos os candidatos matriculados em decorrência das 1ª, 2ª e 3ª chamadas do Vestibular Unicamp 2018, das 9h às 16h, nas unidades de ensino. Os alunos dos cursos oferecidos no turno noturno poderão confirmar suas matrículas das 18h00 às 21h00."
26/02/2018,26/02/2018,Vestibular Unicamp,"Identificação civil dos alunos que fizeram matrícula nas 1ª, 2ª e 3ª chamadas do Vestibular Unicamp 2018."
26/02/2018,01/03/2018,b'Altera\xc3\xa7\xc3\xa3o de Matr\xc3\xadcula',b'Coordenadorias de Cursos atuam nos pedidos de Altera\xc3\xa7\xc3\xa3o de Matr\xc3\xadcula do 1\xc2\xba per\xc3\xadodo letivo de 2018.'
26/02/2018,01/03/2018,alteracao de matricula,Coordenadorias de Cursos atuam nos pedidos de Alteração de Matrícula do 1º período letivo de 2018.
27/02/2018,27/02/2018,b'Estudante Especial',"b'\xc3\x9altimo dia para inscri\xc3\xa7\xc3\xa3o de Estudante Especial em disciplinas isoladas de gradua\xc3\xa7\xc3\xa3o do 1\xc2\xba per\xc3\xadodo letivo de 2018, na WEB.'"
27/02/2018,27/02/2018,estudante especial,"Último dia para inscrição de Estudante Especial em disciplinas isoladas de graduação do 1º período letivo de 2018, na WEB."
27/02/2018,01/03/2018,b'Vestibular Unicamp',"b'Declara\xc3\xa7\xc3\xa3o de interesse por vaga do Vestibular Unicamp 2018, das 9h00 do dia 27 de fevereiro at\xc3\xa9 \xc3\xa0s 17h00 do dia 01 de mar\xc3\xa7o, na p\xc3\xa1gina eletr\xc3\xb4nica da Comvest.'"
27/02/2018,01/03/2018,vestibular unicamp,"Declaração de interesse por vaga do Vestibular Unicamp 2018, das 9h00 do dia 27 de fevereiro até às 17h00 do dia 01 de março, na página eletrônica da Comvest."
27/02/2018,30/05/2018,b'Hor\xc3\xa1rio',b'Coordenadorias de Cursos elaboram os hor\xc3\xa1rios do 2\xc2\xba per\xc3\xadodo letivo de 2018 e Sistema de Recupera\xc3\xa7\xc3\xa3o.'
27/02/2018,30/05/2018,horario,Coordenadorias de Cursos elaboram os horários do 2º período letivo de 2018 e Sistema de Recuperação.
28/02/2018,01/03/2018,b'Estudante Especial',b'Coordenadorias de Cursos atuam nos pedidos de inscri\xc3\xa7\xc3\xa3o de Estudante Especial em disciplinas isoladas de gradua\xc3\xa7\xc3\xa3o do 1\xc2\xba per\xc3\xadodo letivo de 2018.'
28/02/2018,01/03/2018,estudante especial,Coordenadorias de Cursos atuam nos pedidos de inscrição de Estudante Especial em disciplinas isoladas de graduação do 1º período letivo de 2018.
01/03/2018,01/03/2018,b'Vestibular Unicamp',"b'\xc3\x9altimo dia para Declara\xc3\xa7\xc3\xa3o de interesse por vaga do Vestibular Unicamp 2018, at\xc3\xa9 \xc3\xa0s 17h00, na p\xc3\xa1gina eletr\xc3\xb4nica da Comvest.'"
01/03/2018,01/03/2018,vestibular unicamp,"Último dia para Declaração de interesse por vaga do Vestibular Unicamp 2018, até às 17h00, na página eletrônica da Comvest."
01/03/2018,01/03/2018,Alteração de Matrícula,Último dia para as Coordenadorias de Cursos atuarem nos pedidos de Alteração de Matrícula do 1º período letivo de 2018.
01/03/2018,01/03/2018,Estudante Especial,Último dia para as Coordenadorias de Cursos atuarem nos pedidos de inscrição de Estudante Especial em disciplinas isoladas de graduação do 1º período letivo de 2018.
02/03/2018,02/03/2018,b'Estudante Especial',b'DAC divulga na WEB relat\xc3\xb3rios de matr\xc3\xadcula de estudante especial em disciplinas isoladas de gradua\xc3\xa7\xc3\xa3o do 1\xc2\xba per\xc3\xadodo letivo de 2018.'
02/03/2018,02/03/2018,estudante especial,DAC divulga na WEB relatórios de matrícula de estudante especial em disciplinas isoladas de graduação do 1º período letivo de 2018.
02/03/2018,02/04/2018,b'Cola\xc3\xa7\xc3\xa3o de Grau',b'Coordenadorias de Cursos informam \xc3\xa0 DAC a data da Cola\xc3\xa7\xc3\xa3o de Grau \xc2\xa0do 1\xc2\xba per\xc3\xadodo letivo de 2018.'
02/03/2018,02/04/2018,colacao de grau,Coordenadorias de Cursos informam à DAC a data da Colação de Grau  do 1º período letivo de 2018.
02/03/2018,02/05/2018,b'Desist\xc3\xaancia de Matr\xc3\xadcula em disciplina',"b'Desist\xc3\xaancia de Matr\xc3\xadcula em Disciplinas do 1\xc2\xba per\xc3\xadodo letivo de 2018, na WEB'"
02/03/2018,02/05/2018,desistencia de matricula em disciplina,"Desistência de Matrícula em Disciplinas do 1º período letivo de 2018, na WEB"
05/03/2018,05/03/2018,b'Vestibular Unicamp',b'Divulga\xc3\xa7\xc3\xa3o da lista de convocados em 4\xc2\xaa chamada para matr\xc3\xadcula presencial e lista de candidatos remanejados do Vestibular Unicamp 2018.'
05/03/2018,05/03/2018,vestibular unicamp,Divulgação da lista de convocados em 4ª chamada para matrícula presencial e lista de candidatos remanejados do Vestibular Unicamp 2018.
07/03/2018,07/03/2018,b'Vestibular Unicamp',"b'Matr\xc3\xadcula presencial dos convocados em 4\xc2\xaa chamada do Vestibular Unicamp 2018, das 9h00 \xc3\xa0s 12h00, nas unidades de ensino.'"
07/03/2018,07/03/2018,vestibular unicamp,"Matrícula presencial dos convocados em 4ª chamada do Vestibular Unicamp 2018, das 9h00 às 12h00, nas unidades de ensino."
07/03/2018,07/03/2018,Vestibular Unicamp,Identificação civil dos alunos que fizeram matrícula em 4ª chamada do Vestibular Unicamp 2018.
07/03/2018,07/03/2018,Vestibular Unicamp,"Solicitação de Aproveitamento de Estudos para o 1º Período letivo de 2018 - ingressantes da 4ª chamada do Vestibular Unicamp 2018, na DAC."
07/03/2018,07/03/2018,Vestibular Unicamp,Divulgação da lista de convocados em 5ª chamada para matrícula presencial e lista de candidatos remanejados do Vestibular Unicamp 2018.
09/03/2018,09/03/2018,b'Vestibular Unicamp',"b'Matr\xc3\xadcula presencial dos convocados em 5\xc2\xaa chamada do Vestibular Unicamp 2018, das 9h00 \xc3\xa0s 12h00, nas unidades de ensino.'"
09/03/2018,09/03/2018,vestibular unicamp,"Matrícula presencial dos convocados em 5ª chamada do Vestibular Unicamp 2018, das 9h00 às 12h00, nas unidades de ensino."
09/03/2018,09/03/2018,Vestibular Unicamp,Identificação civil dos alunos que fizeram matrícula em 5ª chamada do Vestibular Unicamp 2018.
09/03/2018,09/03/2018,Vestibular Unicamp,"Solicitação de Aproveitamento de Estudos para o 1º Período letivo de 2018 - ingressantes da 5ª chamada do Vestibular Unicamp 2018, na DAC."
